BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"","dakhlia2019b","Dakhlia, Jocelyne","L’eunuque, intègre homme d’état. L’historiographie fonctionnelle face à la précarité sociale et politique","",,,"","293–316",2019,"","","","","","","","Pinon, C.","Presss de l’Ifpo","","","","","","","","","chap","",""
5,"","debiais2019a3","Debiais, Vincent","Apuntes de cultura visual acerca de la figura del actor en el libro medieval (s. IX-XI)","",,,"","43–55",2019,"Saragosse","","","Representatividad, devoción y usos del libro en el mundo medieval","","","","Gimeno, Helena","","","","","","","","","","chap","",""
5,"","debiais2019b","Debiais, Vincent","La nudité de Noé et les linges de l’autel","",,,"","",2019,"Paris","","","Voiler et dévoiler. Le rideau dans l’art et la liturgie antique et médiévale","","","","Bord, Lucien-Jean; Debiais, Vincent & Palazzo, Eric","","","","","","","","","","chap","",""
1,"","debiais2019a1","Debiais, Vincent","Le Silence dans l’art","",,,"","",2019,"Paris","","","","","","","","Éditions du Cerf","","","","","","","","","monographie","",""
7,"","debiais2019a2","Debiais, Vincent","Le texte épigraphique à l’épreuve de l’art. Style, date, attribution","Hortus artium medievalium. Journal of the International Research Center for Late Antiquity and Middle Ages",25,1,"","96–105",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","debiais2019c","Debiais, Vincent","Urkunden in Stein. Funktionen und Wirkungen urkundlicher Inschriften","",,,"","65–90",2019,"Berlin","","","Inschriftenkulturen im kommunalen Italien. Traditionen","","","","Bolle, Katarina & Van Hohe, Marc","Brüche, Neuanfänge","","","","","","","","","chap","",""
5,"","debiais2019d","Debiais, Vincent","Visibilité et présence des inscriptions dans l’image médiévale","",,,"","357–378",2019,"Paris","","","Visibilité et présence de l’image dans l’espace ecclésial. Byzance et Moyen Âge occidental","","","","Drodbeck, Sumanith & Poilpré, Anne-Orange","","","","","","","","","","chap","",""
7,"","delaurenti2019a","Delaurenti, Béatrice","Compte rendu. Joëlle Ducos et Christopher Lucken (éd.), Richard de Fournival et les sciences au XIIIe siècle, Florence : Sismel-Edizioni del Galluzzo (Micrologus Library, 88), 2018","Revista Española de Filosofía Medieval",26,2,"","186–189",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","descimon2019a","Descimon, Robert","Colbert, la dette publique et la haute robe parisienne","",,,"","3–68",2019,"Paris","","","Annuaire-Bulletin de la Société de l’histoire de France, année 2015","","","","","au siège de la Société","","","","","","","","","article","",""
7,"","descimon2018a","Descimon, Robert","Le trop proche ? Mariages dans le nom du père à Paris aux xvie et xviie siècles","L'Atelier du CRH",19,bis,"","185–229",2018,"Paris","","","","","","","Haddad, Élie","CRH","","","","","","","","","article","",""
7,"","descimon2019b","Descimon, Robert & Coste, Joël","Une patientèle médicale parisienne à la fin du xvie siècle. Les malades de Guillaume de Baillou","Bibliothèque d’Humanisme et Renaissance",LXXXI,,"","273–290",2019,"Genève","avec","","","","","","","Droz","","","","","","","","","article","",""
5,"","desrosiers2019a2","Desrosiers, Sophie",""Yarn, Textiles and Dyes" and "Sasanian samit from Antinoopolis","",,,"","324–329",2019,"","","","Silk Roads","","","","Whitfield, Susan","Thames \& Hudson","","","","","","","","","chap","",""
7,"","desrosiers2019a1","Desrosiers, Sophie","Scrutinizing Raw Material between China and Italy: The Various Processing Sequences of Bombyx mori silk / Au plus près de la matière entre la Chine et l’Italie: les différentes chaînes opératoires de transformation de la soie du Bombyx mori","L’Atelier du Centre de recherches historiques",20,,"","",2019,"","","http://journals.openedition.org/acrh/10323;","","","","","","","","","","","","","","","article","",""
10,"","dittmar-a","Dittmar, Pierre-Olivier","Réalisation avec la DSI de l’Ehess et Elise Haddad de la nouvelle version du Thésaurus des Images Médiévales en Ligne","",,,"","",,"","","https://datu.ehess.fr/timel/fr/","","","","","","","","","","","","","","","autre","",""
7,"","dittmar2019a1","Dittmar, Pierre-Olivier","Bêtes humaines","Billebaude",15,,"","6–12",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","dittmar2019a2","Dittmar, Pierre-Olivier","Penser une anthropologie historique du vivant","",,,"","57–71",2019,"Rennes","","","Pour une anthropologie historique de la nature","","","","Roy, Romain & Lamy, Jérôme","PUR","","","","","","","","","chap","",""
7,"","catherine2019a","Dominguès, Catherine; Brando, Carmen; Jolivet, Vincent & Cargill, Marion","Place and Sentiment-based Life story Analysis","Revue française des sciences de l’information et de la communication",17,,"","",2019,"","","http://journals.openedition.org/rfsic/7228;","","","","","","","","","","","","","","","article","",""
5,"","dreyfuss2019a","Dreyfuss, Mathias","L’histoire des juifs en France : une histoire des juifs de France","",,,"","62–75",2019,"Paris","","","Comment s’écrit l’histoire juive","","","Présences du judaïsme","Goldberg, Sylvie Anne","Albin Michel","","","","","","","","","chap","",""
5,"","duhamelle2019a","Duhamelle, Christophe","Le statut de minorité confessionnelle dans le Saint-Empire romain germanique à l’époque moderne","",,,"","61–75",2019,"Villeneuve d’Ascq","","","Les Protestantismes en Lorraine, XVIe-XXIe siècles","","","","Jalabert, Laurent & Léonard, Julien","Presses universitaires du Septentrion","","","","","","","","","chap","",""
10,"","dum2019a","Duménieu, Bertrand; Chadeyron, Julien; Cristofoli, Pascal; Perret, Julien & Baciocchi, Stéphane","Engraved Footprints from the Past.Retrieving cartographic geohistorical data from the Cassini Carte de France, 1750-1789, 29th International Cartographic Conference, Tokyo, Japan, 15–20 July 2019-V1","",,,"6","",2019,"","En collaboration avec S. Gomis, M. Gribaudi, I. Langlois, C. Motte and M.-C. Vouloir","https://www.academia.edu/42179836/Engraved_Footprints_from_the_Past._Retrieving_cartographic_geohistorical_data_from_the_Cassini_Carte_de_France_1750-1789","","","","","","","","","","","","","","","autre","",""
5,"","fauve-chamoux2019a","Fauve-Chamoux, Antoinette","Lone Motherhood in Past Europe, Female Labour and Family Transmission Systems","",,,"","81–100",2019,"Wien","","","Mensch im Mittelpunkt, Bevölkerung - Ökonomie - Erinnerung. Festschrift für Peter Teibenbacher zum 65. Geburtstag","","","","Hohenwarter, Michaela; Iber, Walter & Krautzer, Thomas","Lit","","","","","","","","","chap","",""
10,"","fressoz2019f","Fressoz, Jean-Baptiste","Brexit : "Les illusions des responsables politiques sur l’innovation"","",,,"11","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019e","Fressoz, Jean-Baptiste","Bruno Le Maire et le loto de l’innovation de rupture","Le Monde",,,"12","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019l","Fressoz, Jean-Baptiste","Des insectes et des larmes","Le Monde",,,"2","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019j","Fressoz, Jean-Baptiste","Duel à coup de gourdin","Le Monde",,,"6","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019k","Fressoz, Jean-Baptiste","Faut-il prendre l’avion pour devenir savant ?","Le Monde",,,"4","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019m","Fressoz, Jean-Baptiste","Fin de partie pour les pétrodollars ?","Le Monde",,,"1","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019b","Fressoz, Jean-Baptiste","Les énergies fossiles sont liées à des projets de domination politique","Socialter",,,"12","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019i","Fressoz, Jean-Baptiste","Les racines historiques de la collapsologie","Le Monde",,,"7","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019g","Fressoz, Jean-Baptiste","Les réfugiés climatiques ont bon dos","Le Monde",,,"10","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
10,"","fressoz2019n","Fressoz, Jean-Baptiste","L’Homme a mangé la terre","",,,"5","",2019,"","Film documentaire","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019a","Fressoz, Jean-Baptiste","Nous n’avons jamais brûlé autant de charbon, de pétrole, de gaz et de bois","Télérama",,,"12","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019h","Fressoz, Jean-Baptiste","Rationner le transport est beaucoup plus démocratique qu’augmenter les taxes sur le CO2","Le Monde",,,"8","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019c","Fressoz, Jean-Baptiste","Réparer la nature","L’Humanité",,,"11","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","fressoz2019d","Fressoz, Jean-Baptiste","Retour à Rouen","Le 1",,,"10","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","jean-baptiste2019a","Fressoz, Jean-Baptiste & Nelo, M.","The Physical economy of France (1830-2015). The History of a Parasite","Ecological Economics",157,,"","291–300",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","michelle2019a","Fridenson, Michelle & Fridenson, Patrick","L'empreinte de Jean-Daniel Reynaud","Le Mouvement Social",266,,"1","113–114",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","fridenson2019a3","Fridenson, Patrick","De l'audiovisuel au numérique : tous acteurs de la communication ? », Le","Le Mouvement Social",268,,"7","3–28",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","fridenson2019c","Fridenson, Patrick","Le projet de création par Renault d'une Banque industrielle et son rejet par l'Etat (1971-1973)","Entreprises et Histoire",95,,"6","86–110",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","fridenson2019a","Fridenson, Patrick","Pour une histoire de l'usine","",,,"","13–20",2019,"Rouen","","","La vallée de la Seine et la seconde révolution industrielle","","","","Feiertag, Olivier & Simon, Marine","Presses universitaires de Rouen et du Havre","","","","","","","","","chap","",""
5,"","fridenson2019a1","Fridenson, Patrick","Préface","",,,"","9–23",2019,"Paris","","","Archiver la mémoire. De l'histoire orale au patrimoine immatériel","","","","Descamps, Florence","Editions de l'EHESS","","","","","","","","","prefpostface","",""
5,"","fridenson2019b1","Fridenson, Patrick","Préface","",,,"","9–16",2019,"Tours","","","Menaces sur l’alimentation. Emballages, colorants et autres contaminants alimentaires, XIXe-XXe siècles","","","","Hachez-Leroy, Florence","Presses Universitaires François-Rabelais","","","","","","","","","prefpostface","",""
7,"","fridenson2019d","Fridenson, Patrick","Renault et l'Iran : entretien avec Louis Schweitzer (2013)","Entreprises et Histoire",94,,"4","198–206",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","fridenson2019b2","Fridenson, Patrick; Pélisse, Jérôme & Machu, Laure","Introduction générale","Les Cahiers du CHATEFP",23,,"12","7–16",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","kazuo2019a","Fridenson, Patrick & Wada, Kazuo","Automobiles","",,,"","392–409",2019,"Abingdon-New York","","","The Routledge Companion to the Makers of Global Business","","","","da Silva Lopes, Teresa; Tworek, Heidi J. S. & Lubinski, Christina","Routledge","","","","","","","","","chap","",""
7,"","martin2019a","Giraudeau, Martin & Graber, Frédéric","Le seuil de l’action : la décision préalable dans l’histoire des projet","Entreprises et Histoire",4,97,"","40–57",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","goldberg2019a","Goldberg, Sylvie Anne","Course of the year","",2,,"","",2019,"Leyde","2017-2021","","Encyclopedia of Jewish History and Culture","","","","Diner, D.","Brill","","","","","","","","","artdictencyclo","",""
7,"","goldberg2019a2","Goldberg, Sylvie Anne","De la rhétorique romaine à la pratique chrétienne de l’antijudaïsme : lectures, interprétations et transmission des écrits de Flavius Josèphe","Tsafon",78,,"","21–46",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","goldberg2019b","Goldberg, Sylvie Anne","Death","",2,,"","",2019,"Leyde","2017-2021","","Encyclopedia of Jewish History and Culture","","","","Diner, D.","Brill","","","","","","","","","artdictencyclo","",""
5,"","diner2019a","Goldberg, Sylvie Anne","Exile","",2,,"","",2019,"Leyde","2017-2021","","Encyclopedia of Jewish History and Culture","","","","Diner, D.","Brill","","","","","","","","","artdictencyclo","",""
7,"","graber2019a2","Graber, Frédéric","Le robinet libre. Mesurer sans compteur les abonnements à l’eau (France, 19e siècle)","Histoire et Mesure",34,2,"","",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","graber2019b","Graber, Frédéric","Les mesures de l’eau","Histoire et Mesure",34,2,"","",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","green2019b","Green, Nancy L.","AHA Member Spotlight : Nancy L. Green","Perspectives on History",October 18,,"","",2019,"","","https://www.historians.org/publications-and-directories/perspectives-on-history/october-2019/aha-member-spotlight-nancy-l-green","","","","","","","","","","","","","","","vulgarisation","",""
7,"","green2019a3","Green, Nancy L.","Compte rendu. Eric T. Jennings, Escape from Vichy: The Refugee Exodus to the French Caribbean","Journal of Modern History",91,2,"6","455–457",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","green2019a4","Green, Nancy L.","Deux façons d’être juif dans la mode : La confection à Paris","Tenou’a",176,,"","37–39",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
5,"","green2019a2","Green, Nancy L.","Femmes, genre, migrations : historiographies en mouvement","",,,"","215–226",2019,"Rome","","","Vingt-cinq ans après : Les femmes au rendez-vous de l’histoire","","","","Asquier, Enrica","École Française de Rome","","","","","","","","","chap","",""
1,"","green2019a1","Green, Nancy L.","The Limits of Transnationalism","",,,"","",2019,"Chicago","","","","","","","","University of Chicago Press","","","","","","","","","monographie","",""
5,"","grenier2019a","Grenier, Jean-Yves","To Think the Unthinkable. Early Financial Theories (late 17th-18th Century)","",,,"","",2019,"Berlin","","","Boom, Bust, and Beyond. New Perspectives on the 1720 Stock Market Bubble","","","","Condorelli, Stefano & Menning, Daniel","De Gruyter","","","","","","","","","chap","",""
5,"","gr2019a2","Grévin, Benoît","Anamorphoses linguistiques : le pentacle des langues référentielles dans l’Occident latin","",,,"","43–78",2019,"Paris","","","Hiéroglossie I. Moyen Âge latin, Monde arabo-persan, Tibet, Inde","","","","Robert, Jean-Noël","Collège de France","","","","","","","","","chap","",""
5,"","gr2019l","Grévin, Benoît","Between Arabic and Latin in Late medieval and Renaissance Italy","",,,"","145–177",2019,"Heidelberg","","","Latin and Arabic: Entangled Histories","","","Heidelberg Studies on Transculturality, 5","König, Daniel","Heidelberg University Publishing","","","","","","","","","chap","",""
7,"","gr2019a","Grévin, Benoît","Cola di Rienzo. Le notaire qui se rêvait empereur","L’Histoire",466,,"12","70–75",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
5,"","gr2019k","Grévin, Benoît","Comparing Medieval "Latin" and "Arabic" Textual Cultures from a Structural Perspective","",,,"","5–29",2019,"Heidelberg","","","Latin and Arabic: Entangled Histories","","","Heidelberg Studies on Transculturality, 5","König, Daniel","Heidelberg University Publishing","","","","","","","","","chap","",""
5,"","gr2019e","Grévin, Benoît","Der Übergang vom Latein in die Volsksprachen (13.-14. Jahrhundert)","",,,"","305–322",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","Monographien zur Geschichte des Mittelalters, 65","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019b2","Grévin, Benoît","Die Ars dictaminis in Frankreich im 12. Jahrhundert","",,,"","94–116",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","Monographien zur Geschichte des Mittelalters, 65","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019i","Grévin, Benoît","Die ars dictaminis und andere Disziplinen","",,,"","566–612",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019f","Grévin, Benoît","Die Edition metrischer artes dictandi (Ende des 12. Bis Ende des 15. Jahrhunderts)","",,,"","356–367",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019h","Grévin, Benoît","Die Lehre und ihre Zentren in Frankreich, 12.-14. Jahrhundert","",,,"","477–485",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019g","Grévin, Benoît","Fortleben: der rythmische cursus im Spätmittelalter und in der Renaissance (1200- 1500)","",,,"","432–448",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019d","Grévin, Benoît","Frankreich und die iberische Halbinsel im 14. und 15. Jahrhundert","",,,"","263–271",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","Monographien zur Geschichte des Mittelalters, 65","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019c","Grévin, Benoît","Frankreich, die Iberische Halbinsel und England im 13. Jahrhundert","",,,"","212–238",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre","","","Monographien zur Geschichte desMittelalters, 65","Grévin, Benoît & Hartmann, Florian","Anton Hiersemann Verlag","","","","","","","","","chap","",""
5,"","gr2019m","Grévin, Benoît","La correspondance diplomatique entre la cour de Sicile, Byzance et la papauté au XIIIe siècle. Autour de la collection de lettres d’Innsbruck","",,,"","87–112",2019,"Budapest","","","Byzance et l’Occident V. Ianua Europae","","","","Egedi-Kovács, Emese","Collège Eötvös József Elte","","","","","","","","","chap","",""
7,"","gr2019a1","Grévin, Benoît","Les miroirs déformants des cultures linguistiques médiévales","Ecrire l’histoire. Histoire. Littérature. Esthétique",19,,"","109–116",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","grevin2019a","Grévin, Benoît","Les styles de la gestion administrative et gouvernementale, une friche de la recherche en histoire médiévale ?","",,,"","131–172",2019,"Paris","","","Écritures grises. Les instruments de travail des administrations (XIIe-XVIIe siècles)","","","","Fossier, Arnaud; Petitjean, Johan & Revest, Clémence","Ecole des Chartes","","","","","","","","","chap","",""
7,"","gr2019b","Grévin, Benoît","L’Italie, creuset des savoirs méditerranéens","TDC",1123,,"","14–18",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
5,"","gr2019j","Grévin, Benoît","Revisiter l’histoire des rapports entre l’ars dictaminis et l’ars poetriae","",,,"","351–369",2019,"Genève","","","Fleur de clergie. Mélanges en l’honneur de de Jean-Yves Tilliette","","","","","Droz","","","","","","","","","chap","",""
7,"","gr2019b1","Grévin, Benoît","Una proposta di rilettura dantesca: confortare i voti giusti (lettera IX)","Spolia. Annual Journal of Medieval Studies",15,,"","152–162",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","florian2019a","Grévin, Benoît & Hartmann, Florian","Einleitung","",,,"","11–43",2019,"","","","Ars dictaminis. Handbuch der mittelalterlichen Briefstillehre, Anton Hiersemann Verlag","","","Monographien zur Geschichte des Mittelalters, 65","Grévin, Benoît & Hartmann, Florian","","","","","","","","","","chap","",""
7,"","grevsmuehl2019a","Grevsmühl, Sebastian V.","A propos de : Katrin Jordan, Ausgestrahlt: Die mediale Debatte um "Tschernobyl" in der Bundesrepublik und in Frankreich 1986/87, Göttingen, Wallstein Verlag, 2018, 424p","Le Mouvement Social",3,268,"","190–192",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
5,"","grevsmuehl2019b","Grevsmühl, Sebastian V.","Laboratory Metaphors in Antarctic History: From Nature to Space","",,,"","211–235",2019,"New York, Oxford","","","Ice and Snow in the Cold War: Histories of Extreme Climatic Environments","","","","Herzberg, Julia & Franziska Torma, Christian Kehrt","Berghahn Books","","","","","","","","","chap","",""
7,"","grevsmuehl2019a1","Grevsmühl, Sebastian V.","Planet Earth Seen from Space: A Very Brief Visual History","Contemporânea",9,1,"","37–53",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","grevsmuehl2019a2","Grevsmühl, Sebastian V.","Visualising Climate and Climate Change: A longue durée Perspective","",,,"","46–67",2019,"Cambridge","","","Climate and Culture: Multidisciplinary Perspectives on a Warming World","","","","Feola, Giuseppe; Arnall, Alex & Geoghegan, Hilary","Cambridge University Press","","","","","","","","","chap","",""
7,"","gueliane2019c","Gueliane, Nora","Genèse de la création d’un ksar à Ighzar n M’Zab en Algérie","Annales du patrimoine",,,"","69–86",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","gueliane2019b","Gueliane, Nora","Les nouveaux ksour de la vallée du M’Zab (1995-2016) : de la permanence et des mutations de la solidarité sociale dans leurs réussites et leurs échecs","L’Atelier du Centre de recherches historiques",,,"","",2019,"","","http://journals.openedition.org/acrh/10490","","","","","","","","","","","","","","","article","",""
5,"","gueliane2019a1","Gueliane, Nora","Les nouveaux ksour du M’Zab, quels enseignements pour l’étude de l’urbain en Algérie ?","",,,"","75–88",2019,"Paris","","","L’Algérie au présent. Entre résistances et changements","","","","Direche, K.","IRMC-Karthala","","","","","","","","","artdictencyclo","",""
7,"","gueliane2019d","Gueliane, Nora","Les oumanas : Le corps exécutif du orf de la construction au M’Zab (Algérie)","Asinag",,14,"","95–110",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","gueliane2019a","Gueliane, Nora","L’insertion des migrants dans les territoires d’accueils : Le cas de la diaspora mozabite dans la ville de Bordj Bou Arreridj (Algérie)","Sociétés plurielles",,3,"","1–37,",2019,"","","https://societes-plurielles.episciences.org/6258?fbclid=IwAR1GwNh8s6gudfLhFTL5-d9xTz1kRFyKKCGRxJfJd2cb0iEX5u6MCXOMl_E","","","","","","","","","","","","","","","article","",""
10,"","gueliane2019a2","Gueliane, Nora","Qu’est-ce qu’un ksar pour un Mozabite ?","Le carnet du Centre Jacques Berque",,,"","",2019,"","","https://cjb.hypotheses.org/698.","","","","","","","","","","","","","","","autre","",""
7,"","guery2019a","Guery, Alain","L’État partout et nulle part. Entre crise effective et retrait programmé","Le Débat",206,4,"","177–192",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","hachez-leroy2020a","Hachez-Leroy, Florence","Santé et alimentation en Europe, le cas de l'aluminium","",,,"4","",2020,"","ISSN 2677-6588, 2016","https://ehne.fr/node/2859","Encyclopédie pour une histoire nouvelle de l'Europe","","","","","","","","","","","","","","artdictencyclo","",""
5,"","hachez-leroy2019a2","Hachez-Leroy, Florence","Conclusions et perspectives","",,,"","",2019,"Chambéry","","","Le Patrimoine industriel dans tous ses états : un hommage à Louis Bergeron","","","Patrimoine","Dorel-Ferré, G.","Université Savoie Mont Blanc","","","","","","","","","chap","",""
1,"","hachez-leroy2019a1","Hachez-Leroy, Florence","Menaces sur l’alimentation","",,,"","",2019,"","","","","","","Tables des hommes","","PUFR/PUR","","","","","","","","","monographie","",""
7,"","hachez-leroy2018a","Hachez-Leroy, Florence & Abiteboul, Serge","Quel patrimoine pour l’informatique ?","L’informatique, Patrimoine industriel",63,2,"","8–19",2018,"","Introduction au numéro","","","","","","","","","","","","","","","","article","",""
7,"","hachez-leroy2018b","Hachez-Leroy, Florence & Paradinas, Pierre","Musées et collections informatiques","L’informatique, Patrimoine industriel",73,2,"","26–35",2018,"","","","","","","","","","","","","","","","","","article","",""
7,"","haddad2019a2","Haddad, Élie","Système de parenté et histoire sociale : éléments pour un débat","L’Atelier du Centre de recherches historiques",19,bis,"","7–41",2019,"","","","","","","","Haddad, Élie","","","","","","","","","","article","",""
7,"","haddad2018a","Haddad, Élie","Recension. Anne Brogini, Une noblesse en Méditerranée. Le couvent des Hospitaliers dans la première modernité, Aix-en-Provence/Marseille, Presses universitaires d’Aix-en-Provence, "Le temps de l’histoire", 2017","Revue historique",688,4,"","962–964,",2018,"","","","","","","","","","","","","","","","","","compterendu","",""
5,"","herment2019a2","Herment, Laurent",""The respiration of Paris" catchment area in the nineteenth century: stocks and flows","",17,,"","",2019,"Turnout","","","Stocks, seasons and sales. Food supply, storage and markets in Europe and the New World, c. 1600-2000","","","CORN","Mignemi, Niccolo & Ronsijn, Wouter","Brepols","","","","","","","","","chap","",""
7,"","herment2019c2","Herment, Laurent","Compte rendu de la thèse de Romain Trichereau. "Analyse du processus d'une prise de décision : Napoléon III et le traité de commerce franco-britannique de 1860"","",4,,"","145–149",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","herment2019a","Herment, Laurent","Compte rendu. Georg Fertig (ed.), Social Networks, Political Institutions, and Rural Society, Rurla History in Europe, volume 11, Turnhout Brepols, 2015, 310 pages","Annales HSS",,,"","",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","herment2019b2","Herment, Laurent","Compte rendu. Sylvain Brunier, Le Bonheur dans la modernité. Conseillers agricoles et agriculteurs (1945-1985), ENS éditions, Paris, 2018","Histoire\@Politique",37,,"","",2019,"","","https://histoire-politique.fr/index.php?numero=37&rub=comptes-rendus&item=708.","","","","","","","","","","","","","","","compterendu","",""
5,"","herment2019b1","Herment, Laurent","Introduction. L’histoire rurale française au miroir de l’Europe","",,,"","13–43",2019,"Paris","","","L’Histoire rurale de l’Europe, XVIe-XXe siècle","","","En temps \& lieux","Herment, Laurent","Editions EHESS","","","","","","","","","chap","",""
5,"","herment2019c1","Herment, Laurent","Paris, un fournisseur d’engrais. "Société pour l’application des engrais liquides par le système tubulaire à la ferme de Vaujours"","",,,"","",2019,"Toulouse","","","Fumiers ! Ordures ! Gestion et usages des déchets dans les campagnes de l’Occident médiéval et moderne","","","","Poirier, Nicolas & Conesa, Marc","Flaran 38, PUM","","","","","","","","","chap","",""
5,"","iacub2019a3","Iacub, Marcela","Habiter dans des sociétés post-familiales : phalanstères et cités radieuses","",,,"","77–94",2019,"Paris","","","Les Architectures du bonheur, de Charles Fourier aux Grands Voisins","","","","Iacub, Marcela","Éditions Descartes \& Cie et Cent Mille Milliards","","","","","","","","","chap","",""
5,"","iacub2019b","Iacub, Marcela","Les Grands Voisins, comment révolutionner la logique du social grâce à des nouveaux espaces urbains », entretien avec William Dufourcq, directeur du site Saint Vincent de Paul","",,,"","11–28",2019,"Paris","","","Les Architectures du bonheur, de Charles Fourier aux Grands Voisins","","","","Iacub, Marcela","Éditions Descartes \& Cie et Cent Mille Milliards","","","","","","","","","chap","",""
5,"","fran2019a","Jarrige, François & Le Roux, Thomas","Naissance de l’enquête : les hygiénistes, Villermé et les ouvriers autour de 1840","",,,"","41–52",2019,"Paris","","","Enquêtes ouvrières dans l'Europe contemporaine, entre pratiques scientifiques et passions politiques","","","","Geerkens, Eric; Hatzfeld, Nicolas; Lespinet, Isabelle & Vigna, Xavier","La Découverte","","","","","","","","","chap","",""
7,"","joly2019b1","Joly, Laurent","French Bureaucrats and Anti-Jewish Persecution: The ‘Jewish Service’ of the Paris Police Prefecture, 1940-1944","Holocaust and Genodice Studies",33,1,"","39–59",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","joly2019a","Joly, Laurent","La rafle du Vél’ d’Hiv. L’État collabore, la police hésite","Les collections de L’Histoire",83,,"","70–73",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
1,"","joly2019a1","Joly, Laurent","Les Collabos","",,,"","",2019,"Paris","Nouvelle édition revue, mise à jour et augmentée","","","","","","","Tallandier","","","","","","","","","monographie","",""
7,"","joly-a","Joly, Laurent","The Parisian Police and the Holocaust: Control, Round-ups, Hunt (1940-44)","Journal of Contemporary History",,,"5","",2019,"","","","","","","","","","","","","","","","","","article","",""
