Identifiant 0,Sexe 1,Nom1 2,Nom2 3,Prénom 4,Statut 5,Signature 6,co-auteurs CRH 7,co-auteurs extérieurs 8,Objet 9,Titre 10,Revue 11,Direction 12,livre collectif 13,ouvrage préfacé 14,Dédicataire 15,Dictionnaire 16,Date 17,Lieu 18,Éditeur 19,Collection 20,Série 21,Organisme 22,Langue 23,nombre de pages 24
522,f,PELUS,,Marie-Louise,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Un des aspects de la naissance d'une conscience européenne : la Russie vue d'Europe occidentale au XVIe siècle,,?,La conscience européenne au XVe et XVIe siècles,,,,1980,,,,,,français,20
523,m,FRIDENSON,,Patrick,Directeur d'études EHESS,1,,,contribution dans un livre collectif,The impact of the First World War on French workers,,R.Wall et J.Winter,The upheaval of war,,,,1988,Cambridge,,,,,anglais,14
524,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les morts qui parlent : voix et visions au XIIe siècle,,"S. AUROUX, J.-C. CHEVALIER, N. JACQUES-CHAQUIN, C. MARCHELLO-NIZIA",La Linguistique fantastique,,,,1985,Paris,Denoël,,,,français,8
525,f,SMEDLEY,WEIL,Anette,Ingénieur d'études CNRS,1,,,contribution dans un livre collectif,Un conspirateur au temps de Louis XIV : le chevalier de Rohan,,J. Cornette et H. Méchoulan,L'Etat classique 1652-1715,,,,1996,Paris,Vrin,,,,français,13
526,f,NAHOUM,GRAPPE,Véronique,Ingénieur d'études EHESS,1,,,article dans des actes de colloque,"La 'beauté paysanne', à l'écoute d'un cliché",,,"Actes du Colloque d'Aurillac Le Paysan, juin 1988",,,,1989,Paris,Edtions Christian,,,,français,24
527,f,NAHOUM,GRAPPE,Véronique,Collaborateur technique EHESS,1,,,contribution dans un livre collectif,Des solitudes en récit,,A. FARGE et Ch. KLAPISCH,"Madame ou Mademoiselle, itinéraires de la solitude féminine, XVIIIe-XXe",,,,1984,Paris,Montalba,,,,français,10
528,m,PERROT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'Economie politique et ses livres,,R. CHARTIER et H.-J. MARTIN,Histoire de L'Edition Française,,,,1984,Paris,Promodis,,,,français,
529,m,PERROT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans des Mélanges,La main invisible et le Dieu caché,,,"Différences, Valeurs, Hiérarchie, textes offerts à Louis Dumont",,Louis Dumont,,1984,Paris,,,,,français,
530,m,PERROT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans des Mélanges,L'analyse dynamique des crises au XVIIIe siècle,,,"La France d'Ancien Régime, études réunies en l'honneur de P. Goubert",,Pierre Goubert,,1984,Toulouse,Privat,,,,français,
531,m,STELLA,,Alessandro,Chargé de recherche CNRS,2,B. Vincent,,contribution dans un livre collectif,L'esclavage en Espagne à l'époque moderne. Acquis et nouvelles orientations,,?,Captius i esclaus a l'Antiguitat i al Mon Modern,,,,1996,Naples,,,,,français,
532,m,PETER,,Jean-Pierre,Maître assistant EHESS,1,,,contribution dans un livre collectif,Reparar el desorden del mundo : la medicina ilustrads ante la enfermedad epidemica,,J.-L. PESET,Enfermedad y Castigo,,,,1984,Madrid,,,,,italien,24
533,m,STELLA,,Alessandro,Chargé de recherche CNRS,1,,,article dans des actes de colloque,Herrado en el rostro con una S y un clavo : l'homme-animal dans l'Espagne des siècles XV-XVIII,,,"Figures de l'esclave au Moyen Age et dans le monde moderne, Actes du colloque de Paris X6Nanterre",,,,1996,Paris,,,,,italien,17
534,f,PELUS,,Marie-Louise,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Lübecker Weinhändler im Jahre 1693 und ihr Handel mit Frankreich,,E. SPIES-HANKAMMER,"Lübecker Weinhandel, Kultur- und wirtschaftsgeschichtliche Studien",,,,1985,Lübeck,,,,,allemand,8
535,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,contribution dans des Mélanges,Entreprises hanséates et commerce méditerranéen à la fin du XVIe siècle,,,Histoire économique du monde méditerranéen 1450-1650. Mélanges en l'honneur de F.Braudel,,F.Braudel,,1973,Toulouse,,,,,français,14
536,m,VINCENT,,Bernard,membre associé au CRH,1,,,contribution dans un livre collectif,Un espace d'exclusion : la prison inquisitoriale au XVIe siècle,,?,Les problèmes de l'exclusion en Espagne (XVIe-XVIIe siècles),,,,1983,Paris,,,,,français,10
537,m,FRIDENSON,,Patrick,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Wandlungen und Krisen der Gewerkschaftsstrategien in Frankreich seit 1939,,W.Abelshauser,Konflikt und Kooperation,,,,1988,Essen,,,,,allemand,18
538,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,contribution dans des Mélanges,Le commerce à Narva au début du XVIIe siècle et le problème de la balance commerciale russe,,,"Spoleczenstwo-Gospodarka Kultura, Studia ofiearowane Marianowi Malowistowi",,Marianowi Malowistowi,,1974,Varsovie,,,,,français,16
539,f,NAHOUM,GRAPPE,Véronique,Ingénieur d'études EHESS,1,,,article dans des actes de colloque,Ennui et migration : pourquoi partir,,,"Le migrant, Actes du colloque d'Aurillac, 1986",,,,1986,Aurillac,,,,,français,14
540,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,article dans des actes de colloque,Aspects du développement capitaliste dans les milieux d'affaires de Rouen à la fin du XVIe siècle,,,Quatrième conférence internationale d'histoire économique Bloomington 1968,,,,1973,Paris,,,,,français,4
541,m,TENENTI,,Alberto,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les milieux sociaux et l'art en Europe : XIIIe-XVIIIe siècles,,?,Annals de la 4e Universitat d'Estiu Andorra 85. Fenomens de desigualtats,,,,1988,Andorre,,,,,français,7
542,m,NORA,,Pierre,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Entre mémoire et histoire,,P. NORA,"Les Lieux de Mémoire, 1: La République",,,,1984,Paris,Gallimard,nrf,,,français,43
543,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,contribution dans des Mélanges,Entre Russie et Occident au début du XVIIe siècle : le contexte historique d'un grand document linguistique,,,"Etudes européennes, Mélanges offerts à Victor L.Tapié",,Victor Tapié,,1973,Paris,Publications de la Sorbonne,"série ""Etudes""",,,français,22
544,f,PARENT,LARDEUR,Françoise,Maître assistant EHESS,1,,,article dans des actes de colloque,Problèmes du livre et cabinets de lecture à Paris sous la Restauration (1815-1830),,,Actes du Colloque Les Problèmes du livre dans les sociétés pre-industrielles,,,,1982,Athènes,Fondation nationale de la recherche scientifique,,,,français,7
545,m,OZOUF,,Jacques,Directeur d'études EHESS,2,M. Ozouf,,contribution dans un livre collectif,"Le tour de France par deux enfants, le petit livre rouge de la République",,P. NORA,"Les Lieux de Mémoire, 1: La République",,,,1984,Paris,Gallimard,nrf,,,français,
546,m,TENENTI,,Alberto,Directeur d'études EHESS,1,,,article dans une revue,Lucien Febvre e Fernand Braudel storici,En la Espana medieval,,,,,,1989,,,,,,italien,16
547,f,SINARELLIS,,Maroula,Ingénieur de recherche EHESS,1,,,contribution dans un livre collectif,La carte de Morée : deux approches spatiales,,?,"Les Témoignages sur l'espace et la société. Voyageurs et expéditions scientifiques (XVe-XIXe siècles),",,,,1996,Athènes,Institut de rechechesnéohelléniques/FNRS,,,,français,21
548,f,OZOUF,,Mona,Directeur de recherche CNRS,2,J. Ozouf,,contribution dans un livre collectif,"L'Alsace-Lorraine, mode d'emploi",,H. MONIOT,Enseigner l'Histoire : des manuels à la mémoire,,,,1984,,Peter Lang,,,,français,18
549,m,TENENTI,,Alberto,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'immagine di Genova nella letteratura di viaggio : secc. XVII-XVIII,,?,Civiltà della parola,,,,1989,Milan,,,,,italien,16
550,f,OZOUF,,Mona,Directeur de recherche CNRS,1,,,article dans des actes de colloque,Histoire et instruction civique,,,"Actes du Colloque L'Enseignement de l'histoire, Montpellier, 1984",,,,1984,Paris,Editions du Centre national de la documentation pédagogique,,,,français,
551,f,OZOUF,,Mona,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Le Panthéon, l'Ecole normale des morts",,P. NORA,"Les Lieux de Mémoire, 1: La République",,,,1984,Paris,Gallimard,nrf,,,français,
552,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les pays scandinaves,,Victor L. Tapié,Les hommes d'Etat célèbres. IV: De la découverte de l'Amérique à la Révolution française,,,,1971,Paris,,,,,français,21
553,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les pays scandinaves,,Charles Samaran,Les hommes d'Etat célèbres. III: De al première croisade à la découverte de l'Amérique,,,,1970,Paris,,,,,français,8
554,f,OZOUF,,Mona,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,L'unité nationale et l'unité de la pensée de Jules Ferry,,?,Jules Ferry fondateur de la République,,,,1985,Paris,EHESS,,,,français,
555,m,JEANNIN,,Pierre,Directeur d'études EHESS,1,,,contribution dans des Mélanges,Conjoncture et production du cuivre dans les Vosges méridionales à la fin du XVIe et au début du XVIIe siècles,,,"Conjoncture économique-Structures sociales, Hommage à Ernest Labrousse",,Ernest Labrousse,,1974,Paris,,,,,français,18
556,m,OZOUF,,Jacques,Directeur d'études EHESS,2,M. Ozouf,,contribution dans un livre collectif,"L'Alsace-Lorraine, mode d'emploi",,H. MONIOT,Enseigner l'histoire : des manuels à la mémoire,,,,1984,,Peter Lang,,,,français,18
557,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,"Texte hagiographique , rock n' roll et politique. Notes sur la tournée de Patti Smith en Italie (septembre 1979)",,J.-Cl. SCHMITT,Les Saints et les Stars. Le texte hagiographique dans la culture populaire,,,,1979,,,,,,français,25
558,m,BERGERON,,Louis,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Permanences et renouvellement du patronat,,Y. LEQUIN,"l'Histoire des Français, XIXe-XXe siècles",,,,1983,Paris,Armand Colin,,,,français,138
559,m,BERGERON,,Louis,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'organizzazione di una capitale : Parigi sotto il potere di Napoleone Bonaparte,,De Seta,Le città capitali,,,,1985,Bari,Laterza,,,,italien,4
560,m,POSTEL,VINAY,Gilles,Directeur d'études EHESS,1,,,contribution dans un livre collectif,The dis-integration of traditional labour markets in France : from agriculture and industry to agriculture or industry,,G. Grantham et M. McKinnon,Labour market evolution,,,,1994,Londres,Routledge,,,,anglais,
561,m,BERGERON,,Louis,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Une nouvelle forme de capitalisme : le négoce et l'industrie des grands produits de consommation en France au XIXe siècle,,P. BAIROCH et A.-M. PIUZ,Des économies traditionnelles aux sociétés industrielles,,,,1985,Genève-Paris,Droz,,,,français,16
562,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,contribution dans des Mélanges,Masques et croquemitaines. A propos de l'expression 'Faire barbe' au Moyen Age,,,"Croyances, récits et pratiques de tradition. Mélanges Charles Joisten, 1936-1981, Le Monde alpin et rhodanien",,Charles Joisten,,1982,,,Cahiers du Monde alpin et rhodanien,,,français,14
563,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'art roman Xe-XIIe siècles,,P.Vidal-Naquet,Le grand livre de l'histoire du monde. Atlas Historique,,,,1986,Paris,Hachette/France Loisirs,,,,français,2
564,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,article dans des actes de colloque,La mémoire du prédicateur. Recherches sur la mémorisation des récits exemplaires (XIIIe-XVe siècles),,,"Actes du XIIIe Congrès des Historiens médiévistes de l'enseignement supérieur public, Aix en Provence, 1982",,,,1983,Aix-en-Provence,,,,,français,27
565,m,BOUREAU,,Alain,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Funérailles royales et théologie politique : commémoration et Etat en France, XVème-XVIIème siècles",,"J. Davallon, Ph. Dujardin, G. Sabatier",Le Geste commémoratif,,,,1994,Lyon,CERIEP,,,,français,16
566,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,2,C. Ribaucourt,,contribution dans un livre collectif,Images de la confession dans la prédication au début du XVe siècle. L'exemple de l'Alphabetum narrationum d'Arnold de Liège,,?,"Groupe de la Bussière, Pratiques de la confession. Des Pères du Désert à Vatican II. Quinze études d'histoire",,,,1983,Paris,,,,,français,21
567,f,FAUVE,CHAMOUX,Antoinette,Maître de conférences EHESS,1,,,article dans des actes de colloque,La famille et le petit enfant en France au XVIIIe siècle : modèles et réalités,,,Actes du Congrès international des Lumières,,,,1989,,The Voltaire Foundation,,,,français,7
568,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Sainte Pélagie dans un exemplum d'Etienne de Bourbon,,?,Pélagie la Pénitente. Métamorphoses d'une légende T. II. La survie dans les littératures européennes,,,,1984,Paris,,,,,français,7
569,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,article dans des actes de colloque,"Pélerinage et pénitence dans le recueil d'exempla d'Etienne de Bourbon, O.P. (+ vers 1261)",,,"La faute, la répression et le pardon, 107e congrès national des sociétés savantes, Brest, 1982",,,,1984,Paris,,,,,français,14
570,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,article dans des actes de colloque,"General and specific problems in the research about exempla (séminaire ' Index des exempla médiévaux', Paris, EHESS)",,,"Medieval Sermon Studies, Symposium IV",,,,1984,,,,,,anglais,2
571,m,BOURDELAIS,,Patrice,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Le métier d'historien et le temps : évolution récente, expérimentations",,E. Vilquin,Le Temps et la démographie,,,,1994,Louvain-la-Neuve/Paris,Academia/L'Harmattan,,,,français,24
572,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'art gothique et la renaissance du XIIe siècle,,P.Vidal-Naquet,Le grand livre de l'histoire du monde. Atlas Historique,,,,1986,Paris,Hachette/France Loisirs,,,,français,2
573,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,article dans des actes de colloque,Virgile dans la littérature des exempla (XIIIe-XVe siècles),,,"Colloque Lectures médiévales de Virgile, Rome, octobre 1982",,,,1985,Rome,,,,,français,56
574,m,BERTHE,,Jean-Pierre,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les épidémies au Mexique au XVIe siècle,,J. L. PESET,Enfermedad y Castigo,,,,1984,Madrid,,,,,français,7
575,m,BOURDELAIS,,Patrice,Directeur d'études EHESS,1,,,article dans une revue,Le vieillissement de la population : question d'actualité ou notion obsolète ?,Le Débat,,,,,,1994,,,,,,français,20
576,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Dramma di famiglia e ideale cavalleresco : La leggenda di Roberto il Diavolo nelle 'Chroniques de Normandie' (XIVe secolo),,E. PELLIZER & N. ZORZETTI,La Paura dei Padri nella società antica e medievale,,,,1983,Bari,,,,,italien,15
577,m,BOURDELAIS,,Patrice,Directeur d'études EHESS,2,M.Demonet,,contribution dans un livre collectif,L'évolution de la mortalité dans une ville industrielle : Le Creusot au XIXe siècle,,"A. Bideau, G. Brunet, K.-A. Lynch et A. Perrenoud",Les Systèmes démographiques du passé,,,,1996,Lyon,,,,,français,22
578,m,PROCHASSON,,Christophe,Maître de conférences EHESS,1,,,contribution dans un livre collectif,Les intellectuels,,M. Drouin,"L'Affaire Dreyfus et le tournant du siècle, ibid.",,,,1997,Paris,Flammarion,,,,français,6
579,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Sur Octobre 1956 (O Pazdzierniku),,?,Un livre pour Jacek. Pour le soixantième anniversaire de Jacek Kuron (Ksiazka dla Jacka. W szescdziesiata rocznice urodzin Jacka Kuronia),,,,1995,Varsovie,Fundacjca Nowej,,,,polonais,7
580,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les moines d'Occident Xe-XIIIe siècles,,P.Vidal-Naquet,Le grand livre de l'histoire du monde. Atlas Historique,,,,1986,Paris,Hachette/France Loisirs,,,,français,2
581,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans des Mélanges,Musée : quintessence de l'Europe,,M. Godet,De Russie et d'ailleurs. Pour Marc Ferro,,Marc Ferro,,1995,Paris,Institut d'études slavec,,,,français,6
582,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Manicheizm na uzytek naszych czasow (Un manichéisme à l'usage de notre temps),,G.Herling-Grudzinski,Dziennik pisany noca 1971-1972 (Journal écrit la nuit),,,,1995,Varsovie,Czytelnik,,,,polonais,9
583,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Histoire culturelle, histoire des sémiophores",,J.-P. Rioux et J.-F. Sirinelli,Pour une Histoire culturelle,,,,1997,Paris,Seuil,,,,français,28
584,m,BOUREAU,,Alain,Directeur d'études EHESS,1,,,contribution dans un livre collectif,La causalité en histoire,,"C. Delacroix, C. Thiébault et M. Zancarini-Fournel",L'Histoire entre épistémologie et demande sociale,,,,1994,Créteil/Toulouse/Versailles,,,,,français,18
585,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,article dans des actes de colloque,Les musées d'ethnographie dans l'Europe d'aujourd'hui,,,Actes des Premières Rencontres Européennes des Musées d'Ethnographie 1993,,,,1997,Paris,Musée des ATP/Ecole du Louvre,,,,français,12
586,m,BERGERON,,Louis,Directeur d'études EHESS,1,,,article dans des actes de colloque,Haute Banque parisienne et spéculation immobilière au XIXe siècle,,,"Construire la Ville, XVIII-XIXe siècles, Actes de la table ronde organisée par le Centre Pierre Léon",,,,1983,Lyon,Presses universitaires de Lyon,,,,français,15
587,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Nation et patrimoine,,D. Fabre,L'Europe entre cultures et nations,,,,1997,Paris,MSH,,,,français,12
588,m,BOURDELAIS,,Patrice,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Le seuil d'entrée dans la vieillesse : le poids de l'histoire,,"P. Ansart, A.-M. Guillemard et J. Légaré","Entre travail, retraite et vieillesse : le grand écart",,,,1995,Paris,L'Harmattan,,,,français,25
589,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Franks and Gauls,,P. Nora,Realms of Memory. Rethinking the French Past,,,,1997,New York,Columbia University Press,,,,anglais,50
590,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Dissidences religieuses : juifs et hérétiques XIe-XVe siècles,,P.Vidal-Naquet,Le grand livre de l'histoire du monde. Atlas Historique,,,,1986,Paris,Hachette/France Loisirs,,,,français,2
591,f,BAULANT,,Micheline,Ingénieur d'études CNRS,1,,,contribution dans un livre collectif,Trois fermes céréalières en pays boisé aux XVIIe et XVIIIe siècles,,J. GOY et J.-P. WALLOT,"Evolution et éclatement du monde rural. France-Québec XVIIe-XIXe siècles. Actes du colloque franco-québécois d'histoire comparée, Rochefort, 1982",,,,1986,Paris-Montréal,EHESS-PUM,,,,français,13
592,m,BENOIT,,Serge,Chargé de recherche CNRS,1,,,article dans des actes de colloque,Note historique sur l'activité minière et métallurgique à Minot (Côte d'Or),,,"Mines et Fonderies Antiques de la Gaule, table ronde du CNRS, 21-22 novembre 1980",,,,1982,Toulouse,,,,,français,5
593,m,BENOIT,,Serge,Chargé de recherche CNRS,1,,,article dans des actes de colloque,La sidérurgie du Châtillonnais après l'avènement du procédé indirect (c. 1480 - c. 1570) : matériaux et hypothèses,,P. BENOIT et Ph. BRAUNSTEIN,"Mines, Carrières et Métallurgie dans la France Médiévale, Actes du colloque de Paris, 19-21 juin 1980",,,,1983,Paris,CNRS,,,,français,40
594,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,La renaissance des villes en Occident Xe-XIIIe siècles,,P.Vidal-naquet,Le grand livre de l'histoire du monde. Atlas Historique,,,,1986,Paris,Hachette/France Loisirs,,,,français,2
595,m,BOURDELAIS,,Patrice,Directeur d'études EHESS,1,,,contribution dans un livre collectif,La vieillesse : un regard historique et démographique,,"S. Aymé, J.-C. Henrard",Handicap et vieillissement,,,,1996,Paris,Editions de l'INSERM,,,,français,14
596,f,BEUTLER,,Corinne,Chargé de recherche CNRS,2,M. Baulant,,article dans des actes de colloque,"Les droits de la communauté villageoise sur les cultures : glanage et chaume en France, XVIIe-XVIIIe siècles",,A. Guarducci,"Atti della Undicesima Settimana di Studio Agricoltura e Trasformazione dell'ambiente, secoli XIIIe-XVIIIe, Prato 1979",,,,1984,Florence,,,,,français,
597,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Logique de la mémoire, logique de l'histoire",,A. Marès,Histoire et pouvoir en Europe médiane,,,,1997,Paris,L'Harmattan,,,,français,11
598,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Appunti per la storia di una minoranza : la popolazione tedesca di Venezia nel Medioevo,,"R. COMBA, G. PICCINNI, G. PINTO","Strutture familiari, Epidemie, Migrazioni nell'Italia medievale",,,,1984,Naples,Edizione Scientifiche,,,,italien,7
599,f,BONNAIN,DULON,Rolande,Maître de conférences EHESS,1,,,contribution dans un livre collectif,La pâtisserie : du lien social à la revitalisation des terroirs,,M.C. Bataille et F. Cousin,Cuisines,,,,1996,Paris,,,,,français,9
600,f,LEMAY,,Edna,Maître de conférences EHESS,1,,,article dans des actes de colloque,Volney à l'Assemblée nationale constituante,,,"Actes du Colloque Volney et les Idéologues, 1988",,,,1988,Angers,Presses de l'université d'Angers,,,,français,8
601,f,LEMAY,,Edna,Maître assistant EHESS,1,,,article dans des actes de colloque,Inégalité et vote par tête au printemps 1789,,,"Actes du Colloque Etudes sur les discours de Rousseau, Ottawa 1985",,,,1988,Ottawa,,,,,français,11
602,f,LEMAY,,Edna,Maître de conférences EHESS,1,,,article dans des actes de colloque,Valeurs nouvelles et leur pratique dans le discours des députés juristes à l'Assemblée constituante,,,"Actes du Colloque La Révolution et l'ordre juridique privé, rationalité ou scandale ?, Orléans 1986",,,,1988,Paris,PUF,,,,français,
603,f,LEMAY,,Edna,Maître de conférences EHESS,1,,,article dans des actes de colloque,Le Times et la Révolution française de 1789,,,"Actes du Colloque La Légende de la Révolution, 1986",,,,1988,Clermont-Ferrand,,,,,français,8
604,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,2,P. Benoit,,article dans des actes de colloque,Les comptes miniers d'Hurtières en Savoie au XIVe siècle,,Ph. BRAUNSTEIN & P. BENOIT,"Actes du colloque de juin 1980, Mines, Carrières, Métallurgie dans la France Médiévale",,,,1983,Paris,CNRS,,,,français,
605,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,2,O. Chapelot,,article dans des actes de colloque,Mines et métallurgie en Bourgogne à la fin du Moyen Age,,Ph. BRAUNSTEIN & P. BENOIT,"Actes du colloque de juin 1980, Mines, Carrières, Métallurgie dans la France Médiévale",,,,1983,Paris,CNRS,,,,français,
606,f,BIQUARD,,Claire,Ingénieur d'études EHESS,1,,,article dans une revue,"Saint-Adjutor, sa vie et son culte (XIIe-XXe siècles)",Cahiers Léopold Delisle,,,,,,1996,,,,,,français,
607,f,LEMAY,,Edna,Maître de conférences EHESS,1,,,article dans des actes de colloque,Pourquoi le club breton au printemps 1789 ?,,?,"Région, Nation, Europe",,,,1988,Besançon,Les Belles Lettres,,,,français,9
608,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Die französische Wirtschaft am Ende des Mittelalters : ein überblick,,F. SEIBT & W. EBERHARD,Europa 1400. Die Krise des Spätmittelalters,,,,1984,Francfort,Klett-Cotta,,,,allemand,10
609,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,A la droite du Père,,Michel Winock,"La Droite depuis 1789. Les hommes, les idées, les réseaux. (",,,,1995,Paris,Seuil,,,,français,4
610,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les débuts d'un chantier : le Dôme de Milan sort de terre (1387),,O. CHAPELOT et P. BENOIT,Pierre et Métal dans le bâtiment au Moyen Age,,,,1985,Paris,EHESS,,,,français,22
611,m,PROCHASSON,,Christophe,Maître de conférences EHESS,1,,,contribution dans un livre collectif,Le colonel Georges Picquart (1854-1914),,M. Drouin,L'Affaire Dreyfus de A à Z,,,,1994,Paris,Flammarion,,,,français,5
612,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,article dans des actes de colloque,A l'origine des privilèges d'invention aux XIVe et XVe siècles,,F. CARON,"Les brevets. Leur utilisation en histoire des techniques et de l'économie, Table ronde CNRS",,,,1984,Paris,IHMC-Paris IV,,,,français,8
613,m,PROCHASSON,,Christophe,Maître de conférences EHESS,1,,,contribution dans un livre collectif,Georges Sorel (1847-1922),,M. Drouin,"L'Affaire Dreyfus de A à Z, ibid.",,,,1997,Paris,Flammarion,,,,français,5
614,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'émergence de l'individu,,G. DUBY,"Histoire de la Vie Privée, II, De l'Europe féodale à la Renaissance",,,,1985,Paris,Seuil,,,,français,94
615,m,PROCHASSON,,Christophe,Maître de conférences EHESS,1,,,contribution dans un livre collectif,Jaurès et les revues,,G. Candar et M. Rebérioux,Jaurès et les intellectuels,,,,1994,Paris,Editions de l'Atelier,,,,français,
616,f,BEUTLER,,Corinne,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Identification et culture du seigle dans le sud de l'Europe au XVIe siècle,,"C. Billen, J.-P. Devroey et J.-J. Van Mol","Le Seigle, Secale cereale,",,,,1995,Treignes (Belgique),,,,,français,28
617,m,BURGUIERE,,André,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Naissance d'une ethnographie de la France au XVIIIe siècles,,?,Objet et Méthodes de l'Histoire de la Culture,,,,1982,Paris-Budapest,CNRS-Akademiai Kiado,,,,français,
618,f,LEMAY,,Edna,Maître de conférences EHESS,1,,,article dans des actes de colloque,"La référence à la Pologne à l'Assemblée constituante en France, 1789-1791",,,Actes du Colloque de Matrafüred,,,,1987,Budapest,,,,,français,13
619,m,ANDREAU,,Jean,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Il liberto,,A.Giardino,L'Uomo romano,,,,1989,Rome-Bari,,,,,italien,27
620,m,SCHMITT,,Jean-Claude,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'Angleterre féodale Xe-XIVe siècles,,P.Vidal-Naquet,Le grand livre de l'histoire du monde. Atlas Historique,,,,1986,Paris,Hachette/France Loisirs,,,,français,2
621,m,POSTEL,VINAY,Gilles,Directeur d'études EHESS,2,M. Aymard,,contribution dans un livre collectif,L'État et les marchés,,B. Théret,"L'Etat, la finance et le social",,,,1995,Paris,La découverte,,,,français,
622,f,BEUTLER,,Corinne,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Les fonctions du blé dans un système colonial : l'approvisionnement de Montréal jusqu'en 1840,,"M. GAST, F. SIGAUT & C. Beutler",Les techniques de conservation des grains à long terme : leur rôle dans la dynamique des systèmes de cultures et des sociétés,,,,1985,Paris,CNRS,,,,français,13
623,f,BEUTLER,,Corinne,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Europe moderne et contemporaine : les données de l'histoire,,"M. GAST, F. SIGAUT & C. Beutler",Les techniques de conservation des grains à long terme : leur rôle dans la dynamique des systèmes de cultures et des sociétés,,,,1985,Paris,CNRS,,,,français,1
